NAME,RECORD,NICKNAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Leonardo Mafra,Record: 13-4-0,Macarrao,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989",4.55,48%,4.38,43%,2.12,83%,69%,0.4
Vinny Magalhaes,Record: 14-9-0 (1 NC),Pezao,"6' 3""",205 lbs.,"75""",Orthodox,"Jul 02, 1984",2.14,24%,3.97,68%,1.55,44%,66%,0.8
Vinicius Magalhaes,Record: 2-1-0,Draculinho,--,145 lbs.,--,,"Jul 30, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Caio Magalhaes,Record: 10-3-0,Hellboy,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987",2.27,40%,2.78,56%,1.05,15%,58%,1.6
Bernardo Magalhaes,Record: 13-4-0,Trekko,"5' 9""",155 lbs.,--,Orthodox,"Apr 08, 1981",1.80,27%,3.37,68%,0.00,0%,0%,0.5
Eric Magana,Record: 1-1-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brandon Magana,Record: 6-2-0,,--,170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Angela Magana,Record: 11-9-0,Your Majesty,"5' 1""",115 lbs.,"65""",Orthodox,"Aug 02, 1983",1.53,28%,4.92,42%,0.40,25%,28%,0.4
Neil Magny,Record: 31-15-0,The Haitian Sensation,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",3.40,46%,2.44,51%,2.17,39%,55%,0.3
Raimond Magomedaliev,Record: 10-2-0,,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 10, 1990",4.07,41%,4.75,41%,0.00,0%,0%,0.0
Ibragim Magomedov,Record: 22-8-1,,"6' 0""",250 lbs.,--,Orthodox,"Jun 08, 1975",0.26,4%,3.86,42%,0.00,0%,0%,0.0
Rashid Magomedov,Record: 20-2-0,Highlander,"5' 9""",155 lbs.,"70""",Orthodox,"Nov 29, 1984",4.40,49%,3.05,54%,0.67,57%,89%,0.2
Ruslan Magomedov,Record: 14-1-0,Leopard,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986",4.02,47%,1.47,66%,0.33,100%,88%,0.0
Abus Magomedov,Record: 28-7-1,,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990",3.07,49%,3.43,55%,2.61,59%,100%,0.4
Shara Magomedov,Record: 16-1-0,Bullet,"6' 2""",185 lbs.,"73""",Orthodox,"May 16, 1994",5.93,62%,3.85,43%,0.00,0%,71%,0.0
Murtazali Magomedov,Record: 10-0-0,The Highlight,"5' 9""",145 lbs.,"70""",Orthodox,"Aug 26, 1999",5.57,40%,1.86,84%,0.00,0%,0%,0.0
Zabit Magomedsharipov,Record: 18-1-0,,"6' 1""",145 lbs.,"73""",Orthodox,"Mar 01, 1991",4.89,48%,3.00,64%,5.22,56%,77%,0.8
John Maguire,Record: 24-9-0,The One,"5' 9""",155 lbs.,"69""",Southpaw,"May 19, 1983",1.41,41%,2.44,65%,2.80,46%,77%,1.1
Lolohea Mahe,Record: 10-4-1,,--,--,--,,--,1.71,29%,6.92,40%,2.44,40%,0%,0.0
Michelle Maher,Record: 1-2-0,,--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Maheshate,Record: 10-5-0,,"6' 0""",155 lbs.,"71""",Orthodox,"Dec 01, 1999",3.96,31%,5.96,51%,0.00,0%,47%,0.0
Bill Mahood,Record: 20-7-1 (1 NC),The Butcher,"6' 3""",200 lbs.,--,Orthodox,"Feb 01, 1967",1.54,85%,3.59,17%,0.00,0%,0%,3.9
Klayton Mai,Record: 8-3-0,,"5' 9""",125 lbs.,--,,"Nov 30, 1986",1.53,42%,1.02,63%,3.83,100%,0%,7.7
Demian Maia,Record: 28-11-0,,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.80,43%,2.07,63%,2.49,24%,61%,1.0
Jennifer Maia,Record: 21-10-1,,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",4.35,38%,4.52,55%,0.42,27%,58%,0.1
Nayara Maia,Record: 7-1-1,Capita,"5' 5""",125 lbs.,"66""",Orthodox,"Jul 25, 1990",0.60,36%,3.33,43%,1.00,33%,0%,1.0
Roshan Mainam,Record: 6-3-0,The Indian Notorious,--,135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Levan Makashvili,Record: 15-2-1,The Hornet,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 07, 1989",2.87,54%,2.07,61%,3.67,42%,85%,0.0
John Makdessi,Record: 18-9-0,The Bull,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",5.52,49%,4.15,68%,0.00,0%,86%,0.0
Islam Makhachev,Record: 28-1-0,,"5' 10""",170 lbs.,"70""",Southpaw,"Oct 27, 1991",2.45,58%,1.45,61%,3.10,56%,91%,1.0
Aliev Makhmud,Record: 0-1-0,,"5' 6""",195 lbs.,--,Southpaw,"Feb 13, 1970",1.12,30%,2.24,36%,2.10,50%,0%,0.0
Zach Makovsky,Record: 20-8-0,Fun Size,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",1.94,43%,2.24,62%,3.71,30%,56%,0.3
Azat Maksum,Record: 15-3-0,Qazaq,"5' 7""",125 lbs.,"70""",Southpaw,"Feb 02, 1995",2.75,27%,4.25,52%,3.50,31%,85%,0.2
Jeremy Malaterre,Record: 4-2-0,,"5' 11""",155 lbs.,--,,"Mar 05, 1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Fabio Maldonado,Record: 23-11-0,Caipira de Aco,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",5.29,58%,4.31,53%,0.44,57%,61%,0.6
Marvin Maldonado,Record: 2-4-0 (1 NC),The Bulldog,"5' 6""",135 lbs.,--,,--,0.87,56%,3.47,43%,0.00,0%,20%,0.0
Bea Malecki,Record: 4-1-0,,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 23, 1991",6.84,46%,6.96,62%,0.00,0%,78%,1.1
Nazareno Malegarie,Record: 28-4-0,El Tigre,"5' 8""",155 lbs.,--,,"May 16, 1986",3.87,34%,3.27,69%,1.00,33%,0%,0.0
Carl Malenko,Record: 6-4-0,,"5' 11""",200 lbs.,--,Orthodox,"Jan 25, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jacob Malkoun,Record: 9-3-0,Mamba,"5' 9""",185 lbs.,"73""",Orthodox,"Aug 26, 1995",4.55,58%,2.36,55%,5.81,40%,33%,0.9
Mike Malott,Record: 13-2-1,Proper,"6' 1""",170 lbs.,"73""",Orthodox,"Nov 07, 1991",3.93,48%,3.06,56%,1.88,50%,14%,0.8
Regina Malpica Rivera,Record: 5-0-0,Kill Bill,--,135 lbs.,--,,"Oct 19, 2004",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dan Manasoiu,Record: 0-0-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Troy Mandaloniz,Record: 3-2-0,Rude Boy,"5' 9""",170 lbs.,--,Orthodox,"Feb 01, 1980",3.52,56%,4.71,63%,3.10,66%,57%,0.0
Nate Maness,Record: 16-3-0,Mayhem,"5' 10""",125 lbs.,"72""",Orthodox,"Jun 27, 1991",3.14,50%,3.88,42%,0.68,75%,80%,0.7
Michael Mangan,Record: 0-3-0,,--,155 lbs.,--,,--,1.94,33%,4.52,46%,19.35,50%,100%,0.0
Gary Mangat,Record: 15-3-0,,"5' 7""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
George Mangos,Record: 7-1-0,,"5' 10""",145 lbs.,"70""",Switch,"Aug 19, 2003",0.93,51%,0.27,77%,0.00,0%,0%,2.0
Melvin Manhoef,Record: 30-14-1 (2 NC),No Mercy,"5' 9""",185 lbs.,--,Orthodox,"May 11, 1976",3.52,48%,2.64,51%,0.33,25%,78%,0.0
Melchor Manibusan,Record: 2-4-0,Barracuda,"5' 5""",154 lbs.,--,Southpaw,"Dec 27, 1976",1.58,54%,5.79,15%,0.00,0%,0%,0.0
Jon Manley,Record: 9-4-0,,"6' 1""",170 lbs.,--,Orthodox,"Jul 07, 1986",1.13,20%,4.33,45%,1.00,7%,20%,0.0
Steve Mann,Record: 12-5-0,,"6' 1""",170 lbs.,--,,--,3.18,70%,0.66,57%,1.64,100%,60%,0.0
Marnic Mann,Record: 6-3-0,The Sawed-Off Savage,"5' 0""",115 lbs.,"64""",Southpaw,"Mar 05, 1993",1.47,41%,5.08,31%,1.90,33%,25%,0.4
Dylan Mantello,Record: 8-4-0,The Quiet Man,"6' 1""",155 lbs.,"73""",Orthodox,"Nov 19, 1992",4.69,62%,4.76,55%,0.00,0%,76%,0.0
Chris Manuel,Record: 9-7-2,,"5' 9""",135 lbs.,--,Orthodox,"Jul 21, 1987",2.53,40%,2.67,66%,1.00,20%,100%,0.0
Jimi Manuwa,Record: 17-6-0,Poster Boy,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980",3.43,54%,3.97,49%,0.53,18%,70%,0.4
Dom Mar Fan,Record: 9-2-0,Street Buddha,"5' 11""",155 lbs.,"75""",Orthodox,"Mar 19, 2000",3.71,56%,2.49,44%,2.00,50%,66%,0.3
Cristiano Marcello,Record: 13-6-0,,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 03, 1977",2.56,33%,3.61,58%,0.44,11%,20%,0.9
Daniel Marcos,Record: 18-1-0 (1 NC),Soncora,"5' 7""",135 lbs.,"69""",Orthodox,"Mar 07, 1993",4.90,53%,3.79,61%,1.35,52%,85%,0.1
Jose Maria,Record: 37-7-0 (2 NC),No Chance,"5' 5""",125 lbs.,--,Orthodox,"Jan 04, 1982",3.20,53%,3.98,52%,2.32,27%,33%,2.3
Marcos Mariano,Record: 6-6-0,Dhalsim,"6' 1""",155 lbs.,"76""",Switch,"Oct 12, 1986",0.25,27%,2.11,43%,0.00,0%,28%,0.0
Enrique Marin,Record: 10-4-0,Wasabi,"5' 10""",170 lbs.,--,,"Sep 02, 1986",1.43,33%,3.00,50%,2.50,38%,60%,1.0
Chepe Mariscal,Record: 18-7-0 (1 NC),Machine Gun,"5' 7""",145 lbs.,"69""",Orthodox,"Oct 27, 1992",4.14,55%,2.66,52%,2.34,39%,59%,0.2
Ronny Markes,Record: 17-5-0,,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988",2.17,53%,2.43,45%,3.13,40%,100%,0.5
Rory Markham,Record: 17-6-0,,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982",1.98,21%,10.27,45%,0.00,0%,0%,0.0
Randa Markos,Record: 11-12-1,Quiet Storm,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",2.97,43%,3.10,58%,1.12,28%,52%,0.2
Christina Marks,Record: 8-9-0,,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",5.00,58%,3.00,64%,7.50,100%,0%,0.0
Brendon Marotte,Record: 8-3-0,The Kid,"5' 9""",145 lbs.,"70""",Orthodox,"Jan 12, 1996",0.41,50%,5.70,28%,0.00,0%,0%,0.0
Nate Marquardt,Record: 35-19-2,The Great,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 20, 1979",2.71,49%,2.32,55%,1.87,51%,70%,0.8
Danilo Marques,Record: 11-4-0,,"6' 6""",205 lbs.,"77""",Orthodox,"Dec 26, 1985",1.44,79%,2.52,52%,3.93,28%,0%,0.8
Julian Marquez,Record: 9-6-0,The Cuban Missile Crisis,"6' 2""",185 lbs.,"72""",Orthodox,"May 08, 1990",5.06,45%,5.35,50%,0.00,0%,54%,2.6
Carmelo Marrero,Record: 16-6-0 (1 NC),The Fury,"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981",0.84,34%,2.04,54%,3.21,36%,36%,0.9
Cesar Marscucci,Record: 3-2-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John Marsh,Record: 8-7-0,,"6' 0""",265 lbs.,--,Orthodox,"Sep 15, 1970",0.83,42%,2.23,40%,0.43,100%,54%,0.4
CJ Marsh,Record: 5-7-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Eliot Marshall,Record: 10-4-0,Fire,"6' 2""",205 lbs.,"77""",Orthodox,"Jul 07, 1980",1.93,27%,2.39,67%,0.47,33%,79%,0.9
Doug Marshall,Record: 18-8-0,The Rhino,"5' 10""",205 lbs.,--,Orthodox,"Sep 09, 1975",6.99,46%,4.02,60%,0.00,0%,66%,2.4
David Marshall,Record: 8-4-0,,"6' 2""",170 lbs.,--,,"Aug 24, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Francis Marshall,Record: 8-3-0,Fire,"5' 9""",145 lbs.,"72""",Orthodox,"Mar 03, 1999",3.46,33%,4.10,54%,2.75,44%,66%,0.4
Jack Marshman,Record: 23-10-0,The Hammer,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 19, 1989",2.74,25%,4.19,56%,0.00,0%,20%,0.0
Terry Martin,Record: 23-11-0,,"5' 8""",185 lbs.,"71""",Orthodox,"Oct 10, 1980",2.82,43%,3.13,54%,3.10,42%,92%,0.0
Eric Martin,Record: 0-1-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Justin Martin,Record: 4-3-0,,"6' 0""",185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dave Martin,Record: 0-2-0,,"6' 0""",205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Joe Martin,Record: 6-8-0,,"5' 9""",170 lbs.,--,,--,0.73,40%,2.40,45%,0.00,0%,16%,0.0
Anthony Rocco Martin,Record: 17-6-0,,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2.68,37%,2.59,58%,0.71,27%,68%,1.0
Mallory Martin,Record: 7-5-0,,"5' 4""",115 lbs.,"63""",Orthodox,"Jan 29, 1994",4.42,48%,6.64,55%,2.28,43%,25%,0.3
Michal Martinek,Record: 7-1-0,,"6' 2""",230 lbs.,--,Southpaw,"Apr 19, 1990",2.45,53%,4.29,51%,0.00,0%,0%,0.0
Adrian Luna Martinetti,Record: 17-1-0,,"5' 8""",135 lbs.,"71""",,"Aug 20, 1995",11.00,65%,7.80,48%,3.00,42%,100%,0.0
Rainy Martinez,Record: 0-2-0,,"6' 0""",199 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danny Martinez,Record: 21-8-0,The Gremlin,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",2.73,28%,3.77,63%,3.00,45%,36%,0.0
Alonzo Martinez,Record: 42-20-1,Zo Diddy,"5' 10""",155 lbs.,--,,"Apr 22, 1984",3.07,27%,7.33,52%,0.00,0%,0%,0.0
Henry Martinez,Record: 9-4-0,Sicario,"5' 7""",155 lbs.,"69""",Southpaw,"Aug 07, 1983",2.79,25%,4.01,60%,0.00,0%,80%,0.0
Jonathan Martinez,Record: 19-6-0,Dragon,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",4.44,49%,4.09,56%,0.38,35%,68%,0.1
Poppies Martinez,Record: 29-11-0,The Tachi Kid,"5' 9""",145 lbs.,--,,"Aug 19, 1983",2.88,50%,2.16,51%,1.54,33%,50%,9.2
Andrew Martinez,Record: 9-6-0,Mickey D,"5' 9""",215 lbs.,--,,--,3.40,31%,2.30,47%,1.50,50%,0%,0.0
Mana Martinez,Record: 10-4-0,ManaBoi,"5' 10""",135 lbs.,"70""",Orthodox,"Mar 25, 1996",4.33,48%,4.94,50%,0.72,42%,25%,0.5
Victor Martinez,Record: 13-6-0,The Brick,"5' 8""",155 lbs.,"70""",Orthodox,"Jul 17, 1991",7.94,51%,7.66,53%,0.70,33%,80%,0.0
Roque Martinez,Record: 15-8-2,,"5' 10""",250 lbs.,"72""",Orthodox,"Mar 04, 1986",3.28,53%,4.90,56%,0.38,50%,53%,0.4
Melissa Martinez,Record: 8-2-0,Super Mely,"5' 2""",115 lbs.,"66""",Southpaw,"Aug 18, 1997",3.78,47%,5.21,53%,0.35,50%,50%,0.0
Julieta Martinez,Record: 8-0-0,The Ninja Ferret,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 14, 2004",2.53,44%,3.60,41%,5.00,45%,100%,0.0
David Martinez,Record: 13-1-0,Doctor,"5' 5""",135 lbs.,"67""",Orthodox,"Aug 03, 1998",4.85,47%,2.95,68%,0.00,0%,100%,0.0
Wagner da Conceicao Martins,Record: 9-8-0 (1 NC),Zuluzinho,"6' 7""",390 lbs.,--,Orthodox,"May 19, 1978",1.91,37%,5.43,42%,2.20,100%,100%,0.0
Adriano Martins,Record: 28-9-0,,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982",1.80,38%,2.14,65%,0.83,80%,81%,0.4
Lucas Martins,Record: 19-3-0,Mineiro,"6' 0""",145 lbs.,"72""",Southpaw,"Nov 11, 1988",2.87,35%,4.14,60%,0.00,0%,76%,0.5
Max Martyniouk,Record: 1-1-0,Payne,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bristol Marunde,Record: 16-10-0,,"6' 1""",170 lbs.,"75""",Orthodox,"Apr 20, 1982",1.42,21%,4.40,47%,1.60,33%,14%,0.0
Shoji Maruyama,Record: 12-9-1,,"5' 7""",139 lbs.,--,Orthodox,"Apr 24, 1983",1.40,63%,0.27,55%,0.00,0%,54%,0.0
Kazuma Maruyama,Record: 11-7-0,Gluttony,"5' 11""",155 lbs.,"72""",Orthodox,"Jul 19, 1992",3.83,41%,2.23,53%,4.79,33%,100%,0.0
Islem Masraf,Record: 3-1-0,Lightning,"6' 0""",205 lbs.,"74""",Southpaw,"Jun 07, 1996",0.68,20%,3.88,15%,0.00,0%,100%,0.0
Mike Massenzio,Record: 13-9-0,The Master of Disaster,"6' 2""",185 lbs.,"73""",Southpaw,"Nov 01, 1982",2.08,45%,3.59,54%,2.74,24%,50%,1.4
Jameel Massouh,Record: 26-9-0,,"5' 10""",145 lbs.,"72""",Orthodox,"Sep 12, 1984",1.91,54%,2.62,55%,0.67,15%,50%,0.7
Tiffany Masters,Record: 2-1-0,Rainbow Renegade,"5' 3""",115 lbs.,"65""",Orthodox,"Jul 31, 1994",3.53,62%,2.58,50%,3.06,60%,0%,0.0
Jorge Masvidal,Record: 35-17-0,Gamebred,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.05,47%,3.05,64%,1.38,59%,72%,0.3
Al Matavao,Record: 8-3-0,Sweetness,"5' 8""",205 lbs.,"67""",Orthodox,"Feb 23, 1994",7.84,46%,6.70,58%,0.00,0%,0%,0.0
Tateki Matsuda,Record: 13-8-0,Tech,"5' 7""",125 lbs.,--,Orthodox,"Feb 27, 1986",3.20,34%,3.43,69%,0.00,0%,16%,0.0
Arisa Matsuda,Record: 7-0-0,,"5' 3""",115 lbs.,"64""",Orthodox,"Dec 15, 1994",1.00,75%,1.87,56%,3.00,42%,0%,1.0
Daijiro Matsui,Record: 13-29-7,,"5' 9""",200 lbs.,--,Orthodox,"Dec 05, 1972",0.84,45%,1.69,55%,1.83,30%,43%,0.4
Toki Matsui,Record: 6-1-0,,"5' 6""",125 lbs.,"65""",Orthodox,"Sep 08, 1999",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Koichiro Matsumoto,Record: 15-3-1,,"5' 7""",145 lbs.,--,,"Mar 07, 1986",1.90,26%,3.50,31%,0.00,0%,0%,0.0
Jean Matsumoto,Record: 17-2-0,,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 09, 1999",5.37,39%,5.41,47%,3.00,48%,56%,0.5
Koyomi Matsushima,Record: 13-6-0,,"5' 7""",145 lbs.,"66""",Orthodox,"Oct 08, 1992",2.70,47%,2.83,59%,9.00,52%,33%,0.0
Naoki Matsushita,Record: 12-16-11,,"5' 6""",155 lbs.,--,Orthodox,"Mar 31, 1976",3.30,32%,2.20,63%,1.50,100%,0%,0.0
AJ Matthews,Record: 8-7-0,,"5' 11""",185 lbs.,--,,"Jan 23, 1988",5.11,52%,4.96,51%,0.00,0%,100%,0.0
Jake Matthews,Record: 22-8-0,The Celtic Kid,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",3.34,43%,2.62,60%,1.44,41%,64%,0.8
Connor Matthews,Record: 7-4-0,The Controller,"5' 8""",145 lbs.,"71""",Switch,"May 31, 1992",4.82,43%,6.06,55%,3.24,55%,46%,0.7
Claudio Mattos,Record: 5-4-0,Popeye,--,185 lbs.,--,Orthodox,--,0.00,0%,3.53,0%,0.00,0%,0%,0.0
John Matua,Record: 1-4-0,,"6' 2""",400 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Francesco Maturi,Record: 0-1-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Vladimir Matyushenko,Record: 27-8-0,The Janitor,"6' 0""",205 lbs.,"74""",Orthodox,"Jan 04, 1971",1.90,44%,1.62,59%,3.25,46%,70%,0.1
Miranda Maverick,Record: 17-6-0,Fear The,"5' 3""",125 lbs.,"65""",Southpaw,"Jul 01, 1997",3.22,44%,2.25,61%,2.16,40%,45%,0.4
Nick Maximov,Record: 8-2-0,,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 23, 1997",1.93,45%,2.64,46%,4.16,45%,35%,0.2
Elaina Maxwell,Record: 7-4-0,Beef,"5' 8""",145 lbs.,--,Orthodox,"Dec 16, 1978",2.07,60%,2.40,53%,0.00,0%,50%,1.0
Jeremy May,Record: 13-10-0 (1 NC),,"6' 1""",185 lbs.,--,,"Oct 23, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jack May,Record: 9-3-0,The Outlaw,"6' 8""",255 lbs.,--,Switch,"Apr 14, 1981",1.52,38%,3.29,33%,0.91,33%,20%,0.0
Don'Tale Mayes,Record: 11-9-0 (1 NC),Lord Kong,"6' 6""",260 lbs.,"81""",Orthodox,"Jan 16, 1992",3.22,43%,3.61,46%,0.59,38%,46%,0.0
Gray Maynard,Record: 13-7-1 (1 NC),,"5' 9""",155 lbs.,"70""",Orthodox,"May 09, 1979",1.92,32%,2.64,66%,2.91,47%,81%,0.7
Brooke Mayo,Record: 0-1-0,The Bully,"5' 7""",125 lbs.,--,,--,1.92,34%,3.20,63%,3.20,60%,0%,2.1
Gina Mazany,Record: 7-6-0,Danger,"5' 6""",125 lbs.,"68""",Southpaw,"Aug 19, 1988",3.73,50%,3.52,50%,4.34,52%,33%,0.2
Sabina Mazo,Record: 9-4-0,Colombian Queen,"5' 7""",125 lbs.,"70""",Orthodox,"Mar 25, 1997",6.10,43%,4.35,57%,0.65,80%,59%,0.2
Francesco Mazzeo,Record: 4-1-0,,"6' 3""",205 lbs.,"75""",Orthodox,"Sep 23, 1997",1.83,44%,0.75,65%,3.23,50%,0%,0.0
Scott McAfee,Record: 14-7-0,,"5' 8""",155 lbs.,--,Orthodox,"Aug 23, 1983",0.00,0%,1.33,50%,0.00,0%,0%,0.0
Bobby McAndrews,Record: 1-3-0,,--,--,--,Orthodox,--,2.56,83%,1.03,50%,0.00,0%,33%,7.7
Michael McBride,Record: 8-3-0,,"6' 1""",155 lbs.,--,Orthodox,"Mar 09, 1986",4.08,48%,5.85,40%,1.85,42%,30%,1.2
Ian McCall,Record: 13-5-1,Uncle Creepy,"5' 5""",125 lbs.,"64""",Orthodox,"May 07, 1984",3.59,39%,3.25,67%,2.08,30%,88%,0.0
Molly McCann,Record: 14-8-0,Meatball,"5' 4""",115 lbs.,"62""",Orthodox,"May 04, 1990",5.28,49%,4.65,62%,1.78,36%,38%,0.5
Charles McCarthy,Record: 10-5-0,Chainsaw,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980",0.18,12%,4.03,56%,2.67,60%,0%,2.7
Eric McConico,Record: 10-4-1,,"6' 0""",185 lbs.,"77""",Southpaw,"May 09, 1990",2.61,43%,3.23,46%,0.00,0%,64%,0.0
Sean McCorkle,Record: 17-7-0,,"6' 7""",265 lbs.,"81""",Orthodox,"Jul 17, 1976",0.85,44%,2.48,52%,2.12,40%,33%,4.2
Danni McCormack,Record: 9-2-0,Mac,"5' 4""",125 lbs.,"62""",Southpaw,"Mar 15, 1990",6.93,51%,4.53,60%,6.00,42%,50%,2.0
Paddy McCorry,Record: 7-1-0,,"6' 3""",185 lbs.,"73""",Switch,"Dec 09, 1997",6.20,55%,2.47,53%,1.00,50%,0%,0.0
Kris McCray,Record: 8-5-0,Savage,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 24, 1981",2.69,45%,2.57,54%,2.88,55%,38%,0.0
Tamdan McCrory,Record: 14-5-0,The Barncat,"6' 4""",185 lbs.,"76""",Switch,"Nov 05, 1986",2.07,49%,1.60,46%,2.28,50%,33%,2.5
Rob McCullough,Record: 19-8-0,Razor,"5' 9""",155 lbs.,"69""",Orthodox,"May 26, 1977",2.47,36%,2.84,59%,0.46,100%,68%,0.0
Justin McCully,Record: 11-5-2,The Insane One,"6' 1""",225 lbs.,"73""",Orthodox,"Feb 18, 1976",1.58,37%,2.02,46%,1.28,44%,43%,0.0
Robert McDaniel,Record: 28-10-0,Bubba,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983",1.64,44%,1.98,56%,0.93,50%,50%,1.4
Michael McDonald,Record: 1-1-0,The Black Sniper,"5' 11""",205 lbs.,--,Orthodox,"Feb 06, 1965",0.00,0%,0.40,50%,0.00,0%,0%,0.0
Scott McDonald,Record: 1-0-0,,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Michael McDonald,Record: 17-4-0,Mayday,"5' 9""",135 lbs.,"70""",Orthodox,"Jan 15, 1991",2.69,42%,2.76,57%,1.09,66%,52%,1.4
Josh McDonald,Record: 9-5-0 (1 NC),,--,185 lbs.,--,,--,0.80,57%,3.40,33%,9.00,50%,0%,0.0
Miles McDonald,Record: 2-1-0,,"5' 7""",115 lbs.,--,,"Aug 13, 1991",5.10,45%,4.00,43%,0.00,0%,100%,1.0
Justin McElfresh,Record: 6-4-0,,"6' 6""",205 lbs.,--,Orthodox,"Jan 04, 1980",4.59,26%,12.79,41%,0.00,0%,0%,0.0
Drew McFedries,Record: 12-7-0,The Massacre,"6' 0""",185 lbs.,"72""",Southpaw,"Jul 27, 1978",5.13,51%,4.56,52%,1.42,100%,56%,0.7
Liam McGeary,Record: 12-2-0,,"6' 6""",205 lbs.,--,,"Oct 04, 1982",1.28,48%,1.92,50%,0.51,100%,0%,2.5
Gan McGee,Record: 13-5-0,The Giant,"6' 10""",265 lbs.,--,Orthodox,"Nov 20, 1976",2.20,29%,2.31,59%,0.65,25%,83%,0.0
Court McGee,Record: 23-14-0,The Crusher,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",4.50,36%,3.65,60%,1.78,24%,70%,0.5
Marcus McGhee,Record: 10-2-0,The Maniac,"5' 8""",135 lbs.,"69""",Orthodox,"May 07, 1990",5.50,45%,3.64,57%,0.31,14%,90%,0.3
Ryan McGillivray,Record: 12-0-1,The Kid,"5' 11""",170 lbs.,--,,"Sep 27, 1986",1.27,20%,2.20,52%,0.00,0%,44%,0.0
Ryan McGivern,Record: 13-7-0,,"6' 0""",185 lbs.,--,Orthodox,"Jan 17, 1980",2.22,29%,2.22,57%,0.00,0%,0%,0.0
Jack McGlaughlin,Record: 1-4-0,,--,--,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
